,FlightDate,Carrier,Origin,Dest,Distance,DistanceGroup
10124,2017-09-20,DL,ATL,HSV,151.0,1
19554,2017-09-07,AA,DEN,CLT,1337.0,6
17094,2017-09-28,AA,MIA,LAX,2342.0,10
7730,2017-09-20,AA,DFW,SMF,1431.0,6
8232,2017-09-05,AS,ADQ,ANC,253.0,2
19004,2017-09-05,AA,LGA,MIA,1096.0,5
18073,2017-09-09,OO,SLC,DEN,391.0,2
484,2017-09-26,AA,ORD,TPA,1012.0,5
2447,2017-09-25,OO,ORD,LEX,323.0,2
14142,2017-09-03,OO,SLC,LGB,588.0,3
5424,2017-09-03,WN,DCA,MCO,759.0,4
2033,2017-09-26,UA,BDL,ORD,783.0,4
17731,2017-09-23,EV,CLE,EWR,404.0,2
824,2017-09-29,WN,DEN,PIT,1290.0,6
254,2017-09-17,DL,RSW,ATL,515.0,3
10432,2017-09-08,B6,BOS,EWR,200.0,1
3376,2017-09-21,AS,LAX,PDX,834.0,4
11246,2017-09-20,AA,TPA,PHX,1788.0,8
12213,2017-09-07,WN,IAD,ATL,534.0,3
14334,2017-09-05,AS,SEA,SMF,605.0,3
780,2017-09-13,WN,DAL,HOU,239.0,1
15993,2017-09-03,HA,OGG,HNL,100.0,1
278,2017-09-22,EV,LGA,GSO,461.0,2
18731,2017-09-09,AS,ADQ,ANC,253.0,2
4928,2017-09-26,UA,SFO,LAX,337.0,2
16822,2017-09-29,OO,LAN,MSP,455.0,2
