Origin Airport,Origin Airport Name,Origin City Name,Origin Country Name,Origin Region Name,Destination Airport,Destination Airport Name,Destination City Name,Destination Country Name,Destination Region Name,Marketing Airline,Operating Airline,Marketing Airline Name,Operating Airline Name,Code Share,Fleet,Manufacturer,Flight No,Effective Date,Discontinued Date,Departure Time,Arrival Time,Duration,Departure Terminal,Arrival Terminal,Restricted Code,Frequency,Schedule Type,DepCount,Operating Airline   Capacity,Operating Airline   ASM(Nautical)(Millions),Distance
SIN,CHANGI AIRPORT,SINGAPORE,SINGAPORE,SOUTHEAST ASIA,FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,SQ,LH,Singapore Airlines Limited,Deutsche Lufthansa AG,YES,343,AIRBUS,2002,20001101,20001130,22:40,5:30,830,2,1, , -2-4-6- ,AIR,3,,,5566.0
ZRH,ZURICH AIRPORT,ZURICH,SWITZERLAND,WESTERN EUROPE,NRT,NARITA INTERNATIONAL,TOKYO,JAPAN,FAR EAST ASIA,SR,JL,SundAir Gmbh,"Japan Airlines Co., Ltd.",YES,M11,MCDONNELL-DOUGLAS,9670,20001101,20001130,17:20,13:10,710,A,2, , --34-6- ,AIR,3,,,5183.0
SIN,CHANGI AIRPORT,SINGAPORE,SINGAPORE,SOUTHEAST ASIA,LHR,HEATHROW AIRPORT,LONDON,UNITED KINGDOM,WESTERN EUROPE,NZ,SQ,Air New Zealand Limited,Singapore Airlines Limited,YES,744,BOEING,4318,20001101,20001130,9:00,15:10,850,2,3,Q,1234567,AIR,7,,,5894.0
ZRH,ZURICH AIRPORT,ZURICH,SWITZERLAND,WESTERN EUROPE,HKG,HONG KONG INTERNATIONAL AIRPORT,HONG KONG,HONG KONG - CHINA,FAR EAST ASIA,SR,CX,SundAir Gmbh,"Cathay Pacific Airways, Ltd.",YES,343,AIRBUS,9660,20001101,20001130,12:20,7:00,700,A,, , 1-3-5-7 ,AIR,4,,,5019.0
ZRH,ZURICH AIRPORT,ZURICH,SWITZERLAND,WESTERN EUROPE,GRU,GUARULHOS INTERNATIONAL AIRPORT,SAO PAULO,BRAZIL,SOUTH AMERICA,SN,SR,Brussels Airlines,SundAir Gmbh,YES,M11,MCDONNELL-DOUGLAS,9393,20001101,20001130,22:45,7:30,705,A,1,O, --3-56- ,AIR,3,,,5226.0
KIX,KANSAI INTERNATIONAL AIRPORT,OSAKA,JAPAN,FAR EAST ASIA,ORD,O'HARE INTERNATIONAL AIRPORT,CHICAGO,UNITED STATES,NORTH AMERICA,AA,JL,American Airlines,"Japan Airlines Co., Ltd.",YES,744,BOEING,7240,20001104,20001130,17:00,13:40,700,,5, , -----67 ,AIR,2,,,5646.0
DFW,DALLAS/FT. WORTH INTERNATIONAL AIRPORT,DALLAS FORT WORTH,UNITED STATES,NORTH AMERICA,KIX,KANSAI INTERNATIONAL AIRPORT,OSAKA,JAPAN,FAR EAST ASIA,JL,AA,"Japan Airlines Co., Ltd.",American Airlines,YES,777,BOEING,5021,20001101,20001130,11:30,16:50,860,C,, ,1234567,AIR,7,,,5807.0
KIX,KANSAI INTERNATIONAL AIRPORT,OSAKA,JAPAN,FAR EAST ASIA,DTW,METROPOLITAN WAYNE COUNTY AIRPORT,DETROIT,UNITED STATES,NORTH AMERICA,CO,NW,Cobaltair Ltd,NORTHWEST AIRLINES INC.,YES,744,BOEING,5070,20001101,20001130,16:35,14:35,720,,I,Y,1234567,AIR,7,,,5746.0
SIN,CHANGI AIRPORT,SINGAPORE,SINGAPORE,SOUTHEAST ASIA,FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,AN,SQ,"Advanced Air, LLC",Singapore Airlines Limited,YES,744,BOEING,8296,20001101,20001130,12:30,18:50,800,2,1, , --3-5-- ,AIR,2,,,5566.0
SIN,CHANGI AIRPORT,SINGAPORE,SINGAPORE,SOUTHEAST ASIA,LHR,HEATHROW AIRPORT,LONDON,UNITED KINGDOM,WESTERN EUROPE,BA,QF,British Airways p.l.c.,Qantas Airways Ltd.,YES,744,BOEING,7371,20001102,20001130,7:45,14:00,855,1,4,X, ---4--- ,AIR,1,,,5894.0
